




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (18)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
ureteric bud formation (GO:0060676)	5	2	.00	+	 > 100	1.51E-05	2.17E-03
neural plate morphogenesis (GO:0001839)	6	2	.01	+	 > 100	2.01E-05	2.70E-03
regulation of mesoderm development (GO:2000380)	6	2	.01	+	 > 100	2.01E-05	2.67E-03
BMP signaling pathway involved in heart development (GO:0061312)	7	2	.01	+	 > 100	2.58E-05	3.19E-03
mesonephric tubule formation (GO:0072172)	9	2	.01	+	 > 100	3.95E-05	4.55E-03
neural plate development (GO:0001840)	10	2	.01	+	 > 100	4.73E-05	5.34E-03
cartilage morphogenesis (GO:0060536)	10	2	.01	+	 > 100	4.73E-05	5.30E-03
cell migration involved in gastrulation (GO:0042074)	16	3	.01	+	 > 100	5.38E-07	1.53E-04
notochord morphogenesis (GO:0048570)	11	2	.01	+	 > 100	5.59E-05	6.13E-03
cardioblast differentiation (GO:0010002)	14	2	.01	+	 > 100	8.59E-05	8.74E-03
signal transduction involved in regulation of gene expression (GO:0023019)	23	3	.02	+	 > 100	1.44E-06	3.63E-04
endocrine hormone secretion (GO:0060986)	16	2	.01	+	 > 100	1.09E-04	1.05E-02
regulation of odontogenesis (GO:0042481)	18	2	.02	+	 > 100	1.36E-04	1.27E-02
embryonic hindlimb morphogenesis (GO:0035116)	28	3	.02	+	 > 100	2.48E-06	5.47E-04
trophectodermal cell differentiation (GO:0001829)	19	2	.02	+	 > 100	1.50E-04	1.38E-02
nephron tubule formation (GO:0072079)	19	2	.02	+	 > 100	1.50E-04	1.37E-02
cardiac right ventricle morphogenesis (GO:0003215)	19	2	.02	+	 > 100	1.50E-04	1.37E-02
middle ear morphogenesis (GO:0042474)	20	2	.02	+	 > 100	1.65E-04	1.49E-02
negative regulation of transcription regulatory region DNA binding (GO:2000678)	21	2	.02	+	 > 100	1.80E-04	1.61E-02
notochord development (GO:0030903)	21	2	.02	+	 > 100	1.80E-04	1.60E-02
embryonic forelimb morphogenesis (GO:0035115)	32	3	.03	+	 > 100	3.60E-06	7.24E-04
tripartite regional subdivision (GO:0007351)	22	2	.02	+	 > 100	1.97E-04	1.71E-02
anterior/posterior axis specification, embryo (GO:0008595)	22	2	.02	+	 > 100	1.97E-04	1.70E-02
atrial cardiac muscle tissue development (GO:0003228)	22	2	.02	+	 > 100	1.97E-04	1.69E-02
endocardial cushion formation (GO:0003272)	23	2	.02	+	99.46	2.14E-04	1.81E-02
hindlimb morphogenesis (GO:0035137)	35	3	.03	+	98.04	4.63E-06	8.75E-04
cell surface receptor signaling pathway involved in heart development (GO:0061311)	24	2	.02	+	95.32	2.31E-04	1.93E-02
cell differentiation involved in embryonic placenta development (GO:0060706)	24	2	.02	+	95.32	2.31E-04	1.92E-02
positive regulation of morphogenesis of an epithelium (GO:1905332)	37	3	.03	+	92.74	5.42E-06	9.77E-04
endocardial cushion morphogenesis (GO:0003203)	37	3	.03	+	92.74	5.42E-06	9.65E-04
forelimb morphogenesis (GO:0035136)	39	3	.03	+	87.99	6.29E-06	1.05E-03
blastoderm segmentation (GO:0007350)	27	2	.02	+	84.73	2.89E-04	2.33E-02
cardiac epithelial to mesenchymal transition (GO:0060317)	27	2	.02	+	84.73	2.89E-04	2.32E-02
mesenchymal cell proliferation (GO:0010463)	28	2	.02	+	81.70	3.09E-04	2.45E-02
pharyngeal system development (GO:0060037)	29	2	.03	+	78.89	3.30E-04	2.58E-02
mesoderm morphogenesis (GO:0048332)	73	5	.06	+	78.34	5.62E-09	8.02E-06
face morphogenesis (GO:0060325)	31	2	.03	+	73.80	3.74E-04	2.88E-02
endocardial cushion development (GO:0003197)	47	3	.04	+	73.01	1.07E-05	1.64E-03
regulation of fibroblast growth factor receptor signaling pathway (GO:0040036)	32	2	.03	+	71.49	3.98E-04	3.03E-02
regulation of kidney development (GO:0090183)	34	2	.03	+	67.28	4.46E-04	3.36E-02
determination of heart left/right asymmetry (GO:0061371)	69	4	.06	+	66.31	4.27E-07	1.34E-04
negative regulation of epithelial to mesenchymal transition (GO:0010719)	35	2	.03	+	65.36	4.71E-04	3.52E-02
mesoderm formation (GO:0001707)	71	4	.06	+	64.44	4.76E-07	1.38E-04
mesenchyme morphogenesis (GO:0072132)	54	3	.05	+	63.55	1.59E-05	2.27E-03
alpha-beta T cell differentiation involved in immune response (GO:0002293)	36	2	.03	+	63.55	4.97E-04	3.70E-02
alpha-beta T cell activation involved in immune response (GO:0002287)	36	2	.03	+	63.55	4.97E-04	3.68E-02
endoderm formation (GO:0001706)	54	3	.05	+	63.55	1.59E-05	2.25E-03
regulation of transcription regulatory region DNA binding (GO:2000677)	55	3	.05	+	62.39	1.68E-05	2.35E-03
ventricular cardiac muscle tissue development (GO:0003229)	55	3	.05	+	62.39	1.68E-05	2.33E-03
head morphogenesis (GO:0060323)	37	2	.03	+	61.83	5.24E-04	3.84E-02
cardiac conduction system development (GO:0003161)	38	2	.03	+	60.20	5.51E-04	4.02E-02
anterior/posterior axis specification (GO:0009948)	59	3	.05	+	58.16	2.05E-05	2.68E-03
embryonic digit morphogenesis (GO:0042733)	59	3	.05	+	58.16	2.05E-05	2.66E-03
bone morphogenesis (GO:0060349)	100	5	.09	+	57.19	2.54E-08	2.21E-05
epithelial to mesenchymal transition (GO:0001837)	80	4	.07	+	57.19	7.53E-07	2.07E-04
T cell differentiation involved in immune response (GO:0002292)	40	2	.03	+	57.19	6.08E-04	4.37E-02
ventricular septum morphogenesis (GO:0060412)	41	2	.04	+	55.80	6.37E-04	4.54E-02
regulation of morphogenesis of an epithelium (GO:1905330)	65	3	.06	+	52.79	2.71E-05	3.32E-03
cardiac septum morphogenesis (GO:0060411)	70	3	.06	+	49.02	3.35E-05	4.01E-03
cardiac ventricle morphogenesis (GO:0003208)	70	3	.06	+	49.02	3.35E-05	3.98E-03
formation of primary germ layer (GO:0001704)	120	5	.10	+	47.66	6.09E-08	3.41E-05
embryonic limb morphogenesis (GO:0030326)	121	5	.11	+	47.27	6.34E-08	3.43E-05
embryonic appendage morphogenesis (GO:0035113)	121	5	.11	+	47.27	6.34E-08	3.32E-05
ventricular septum development (GO:0003281)	73	3	.06	+	47.01	3.78E-05	4.46E-03
cranial skeletal system development (GO:1904888)	74	3	.06	+	46.37	3.93E-05	4.57E-03
mesoderm development (GO:0007498)	129	5	.11	+	44.33	8.63E-08	4.23E-05
ear morphogenesis (GO:0042471)	130	5	.11	+	43.99	8.96E-08	4.13E-05
cellular response to BMP stimulus (GO:0071773)	105	4	.09	+	43.57	2.14E-06	4.94E-04
response to BMP (GO:0071772)	105	4	.09	+	43.57	2.14E-06	4.86E-04
cardiac septum development (GO:0003279)	107	4	.09	+	42.76	2.30E-06	5.16E-04
endoderm development (GO:0007492)	81	3	.07	+	42.36	5.10E-05	5.67E-03
odontogenesis of dentin-containing tooth (GO:0042475)	83	3	.07	+	41.34	5.47E-05	6.04E-03
cartilage development (GO:0051216)	168	6	.15	+	40.85	5.67E-09	7.41E-06
gastrulation (GO:0007369)	169	6	.15	+	40.61	5.87E-09	7.08E-06
cell fate specification (GO:0001708)	85	3	.07	+	40.37	5.86E-05	6.38E-03
